Campaign Name,Date,Impressions,Clicks,Spend,Conversions,Revenue,CTR,ROAS,Conversion Rate
Campaign D,2023-12-12,4455,3727,1146.55,65,5837.51,83.65881032547699,5.091369761458289,1.74403005097934
Campaign C,2024-11-07,41237,9287,4553.88,299,1509.85,22.521036932851565,0.3315524344075821,3.2195542155701515
Campaign D,2023-02-12,34920,9259,1990.71,301,3630.32,26.514891179839633,1.8236307649029744,3.250891024948699
Campaign D,2024-04-26,70293,3596,2570.14,143,477.47,5.11572987352937,0.18577587213147925,3.976640711902114
Campaign C,2023-04-06,59991,308,3868.48,57,6050.67,0.5134103448850661,1.5640949416825214,18.506493506493506
Campaign B,2024-05-13,42566,1396,472.59,359,4767.93,3.2796128365362027,10.088935440868408,25.716332378223495
Campaign D,2023-10-22,65985,8863,1724.44,376,2675.45,13.431840569826475,1.5514891790958223,4.2423558614464625
Campaign B,2023-10-15,89989,5111,1903.77,335,7747.98,5.6795830601517965,4.069808852960179,6.554490315006848
Campaign B,2024-06-26,95171,7912,4803.31,80,6296.85,8.313456830336973,1.3109397477989135,1.0111223458038423
Campaign C,2024-06-06,22368,3897,3608.17,239,4177.35,17.42221030042918,1.1577475562404211,6.13292276109828
Campaign A,2023-01-28,1672,9913,647.95,418,6154.68,592.8827751196172,9.49869588702832,4.216685160899829
Campaign C,2023-04-24,8353,2549,3393.69,184,5289.54,30.515982281814917,1.5586397107573173,7.218517065515889
Campaign A,2024-10-22,76841,470,4056.33,461,2202.46,0.6116526333597949,0.5429686440698859,98.08510638297872
Campaign D,2024-08-06,53892,3153,3500.53,202,2764.4,5.850590069026943,0.789708986924837,6.406596891849032
Campaign D,2024-03-23,15609,4792,779.0,4,2110.53,30.70023704273176,2.709281129653402,0.08347245409015025
Campaign A,2024-06-02,77909,2121,2513.05,210,8241.05,2.7224069106265,3.279302043333797,9.900990099009901
Campaign A,2023-08-06,22030,8529,2992.76,471,4687.62,38.71538810712665,1.5663200523931085,5.522335561027084
Campaign C,2023-04-04,97000,2756,1620.68,174,8420.04,2.841237113402062,5.195374780956143,6.313497822931785
